Index,Fiscal_Week_ID,Store_ID,Item_ID,Price,Item_Quantity,Sales_Amount_No_Discount,Sales_Amount,Competition_Price,price_change,qty_change,elasticity,price_bracket,competition_price_bracket,competition_sales_amt,Price_avg,Item_Quantity_avg,segment,dynamic_price
107,2019-03-18,store_709,item_741,266.94,360,5493.77,14479.3,308.55,-0.04319151224058215,-0.0625,1.4470435684647285,251-300,301-350,111078.0,272.3498,19032,High,240.246
114,2019-03-18,store_442,item_741,274.64,374,5239.23,13382.7,308.55,0.028845433430733536,0.03888888888888897,1.3481818181818193,251-300,301-350,115397.7,272.3498,19032,High,247.176
121,2019-03-18,store_136,item_741,275.9,372,5405.48,13177.34,308.55,0.00458782406058833,-0.005347593582887722,-1.1656056361938956,251-300,301-350,114780.6,272.3498,19032,High,248.30999999999997
128,2019-03-18,store_601,item_741,274.74,373,5130.51,14335.5,308.55,-0.0042044218919897736,0.0026881720430107503,-0.6393678160919652,251-300,301-350,115089.15000000001,272.3498,19032,High,247.26600000000002
135,2019-03-18,store_458,item_741,280.67,396,5069.84,13208.83,308.55,0.02158404309529005,0.06166219839142095,2.8568418863505944,251-300,301-350,122185.8,272.3498,19032,High,252.603
142,2019-03-18,store_162,item_741,274.58,375,5257.46,13465.43,308.55,-0.02169807959525427,-0.05303030303030298,2.4440090560780128,251-300,301-350,115706.25,272.3498,19032,High,247.12199999999999
149,2019-03-18,store_30,item_741,271.67,391,5161.84,13175.57,308.55,-0.010598004224633861,0.04266666666666663,-4.025915234822495,251-300,301-350,120643.05,272.3498,19032,High,244.50300000000001
156,2019-03-18,store_594,item_741,281.58,370,5453.7,13966.34,308.55,0.03647808002355779,-0.053708439897698246,-1.4723483215951325,251-300,301-350,114163.5,272.3498,19032,High,253.422
163,2019-03-18,store_197,item_741,283.52,377,5407.5,13723.73,308.55,0.0068896938703033594,0.018918918918918948,2.745973808860383,251-300,301-350,116323.35,272.3498,19032,High,255.16799999999998
170,2019-03-18,store_459,item_441,249.81,356,6933.46,13569.4,141.98,-0.11889813769751689,-0.0557029177718833,0.4684927691095923,201-250,101-150,50544.88,241.66639999999998,17297,High,224.829
177,2019-03-18,store_709,item_441,233.77,356,6980.76,13450.61,141.98,-0.06420879868700213,0.0,-0.0,201-250,101-150,50544.88,241.66639999999998,17297,High,210.393
184,2019-03-18,store_442,item_441,246.87,351,6418.31,13290.44,141.98,0.05603798605466914,-0.014044943820224698,-0.25063255853846766,201-250,101-150,49834.979999999996,241.66639999999998,17297,High,222.18300000000002
191,2019-03-18,store_136,item_441,238.68,331,6556.89,12515.89,141.98,-0.033175355450236976,-0.056980056980056926,1.7175417175417154,201-250,101-150,46995.38,241.66639999999998,17297,High,214.812
198,2019-03-18,store_601,item_441,239.19,353,6490.68,12896.29,141.98,0.002136752136752129,0.06646525679758297,31.105740181268942,201-250,101-150,50118.939999999995,241.66639999999998,17297,High,215.27100000000002
205,2019-03-18,store_458,item_441,251.26,331,6706.98,13577.22,141.98,0.05046197583511014,-0.062322946175637384,-1.2350476798467864,251-300,101-150,46995.38,241.66639999999998,17297,High,226.134
212,2019-03-18,store_162,item_441,239.39,349,6978.94,13357.8,141.98,-0.0472419008198679,0.05438066465256797,-1.151110850935486,201-250,101-150,49551.02,241.66639999999998,17297,High,215.451
219,2019-03-18,store_30,item_441,250.02,355,6338.91,12956.44,141.98,0.04440452817578011,0.017191977077363862,0.38716720531986215,251-300,101-150,50402.899999999994,241.66639999999998,17297,High,225.018
226,2019-03-18,store_594,item_441,248.91,343,6321.27,13109.09,141.98,-0.004439644828413747,-0.033802816901408406,7.613856109630714,201-250,101-150,48699.14,241.66639999999998,17297,High,224.019
233,2019-03-18,store_197,item_441,244.52,348,6439.54,12455.33,141.98,-0.017636896870354746,0.014577259475218707,-0.8265206505641659,201-250,101-150,49409.03999999999,241.66639999999998,17297,High,220.068
240,2019-03-18,store_459,item_294,174.31,424,5748.53,9078.36,212.23,-0.2871339767708163,0.21839080459770122,-0.7605885136053254,151-200,201-250,89985.51999999999,165.9794,22189,High,156.87900000000002
254,2019-03-18,store_709,item_294,165.15,450,5234.02,8899.36,212.23,-0.05255005450060235,0.061320754716981174,-1.1669018291175757,151-200,201-250,95503.5,165.9794,22189,High,148.63500000000002
268,2019-03-18,store_442,item_294,169.72,448,5491.25,8733.9,212.23,0.027671813502876175,-0.004444444444444473,-0.16061269146608417,151-200,201-250,95079.04,165.9794,22189,High,152.748
282,2019-03-18,store_136,item_294,172.59,435,5623.33,8415.35,212.23,0.01691020504360119,-0.029017857142857095,-1.7159967645594831,151-200,201-250,92320.04999999999,165.9794,22189,High,155.33100000000002
296,2019-03-18,store_601,item_294,168.37,463,5731.42,8575.74,212.23,-0.024451011066689787,0.06436781609195408,-2.6325216538650187,151-200,201-250,98262.48999999999,165.9794,22189,High,151.53300000000002
310,2019-03-18,store_458,item_294,161.14,441,5459.97,8886.76,212.23,-0.04294114153352746,-0.04751619870410362,1.1065425139432787,151-200,201-250,93593.43,165.9794,22189,High,145.02599999999998
324,2019-03-18,store_162,item_294,161.23,452,5345.33,8930.99,212.23,0.0005585205411444694,0.024943310657596474,44.65961199293569,151-200,201-250,95927.95999999999,165.9794,22189,High,145.107
338,2019-03-18,store_30,item_294,161.17,427,5323.49,8448.84,212.23,-0.00037213918005329916,-0.05530973451327437,148.62647492627005,151-200,201-250,90622.20999999999,165.9794,22189,High,145.053
352,2019-03-18,store_594,item_294,161.02,443,5654.99,8613.64,212.23,-0.0009306942979461219,0.0374707259953162,-40.26104605777373,151-200,201-250,94017.89,165.9794,22189,High,144.918
366,2019-03-18,store_197,item_294,170.3,440,5575.98,8695.38,212.23,0.0576325922245684,-0.006772009029345383,-0.11750311356736994,151-200,201-250,93381.2,165.9794,22189,High,153.27
380,2019-03-18,store_459,item_794,98.13,461,2710.61,14199.56,178.14,-0.4237815619495009,0.04772727272727262,-0.1126223437086674,51-100,151-200,82122.54,185.43362416107382,61097,High,88.317
392,2019-03-18,store_709,item_794,98.6,476,2762.1,14164.09,178.14,0.0047895648629368015,0.03253796095444694,6.79351086906374,51-100,151-200,84794.64,185.43362416107382,61097,High,88.74
404,2019-03-18,store_442,item_794,100.56,472,2863.91,14530.35,178.14,0.01987829614604464,-0.008403361344537785,-0.42274052478133933,101-150,151-200,84082.07999999999,185.43362416107382,61097,High,90.504
416,2019-03-18,store_136,item_794,102.19,491,2883.92,14719.27,178.14,0.01620922832140015,0.0402542372881356,2.4834147863159006,101-150,151-200,87466.73999999999,185.43362416107382,61097,High,91.971
428,2019-03-18,store_601,item_794,96.9,490,2886.63,13982.15,178.14,-0.05176631764360495,-0.0020366598778004397,0.03934334081520365,51-100,151-200,87288.59999999999,185.43362416107382,61097,High,87.21000000000001
440,2019-03-18,store_458,item_794,102.44,459,2830.85,13884.85,178.14,0.05717234262125892,-0.06326530612244896,-1.1065718706255083,101-150,151-200,81766.26,185.43362416107382,61097,High,92.196
452,2019-03-18,store_162,item_794,97.44,459,2892.44,13740.4,178.14,-0.048809058961343244,0.0,-0.0,51-100,151-200,81766.26,185.43362416107382,61097,High,87.696
464,2019-03-18,store_30,item_794,101.68,453,2755.26,14389.87,178.14,0.04351395730706087,-0.013071895424836555,-0.30040695523492233,101-150,151-200,80697.42,185.43362416107382,61097,High,91.51200000000001
476,2019-03-18,store_594,item_794,92.92,478,2717.45,13650.27,178.14,-0.08615263571990561,0.05518763796909498,-0.640579797796527,51-100,151-200,85150.92,185.43362416107382,61097,High,83.628
488,2019-03-18,store_197,item_794,93.87,457,2655.85,13831.7,178.14,0.010223848471803798,-0.043933054393305415,-4.297115172869369,51-100,151-200,81409.98,185.43362416107382,61097,High,84.483
500,2019-03-18,store_459,item_137,148.79,422,4410.6,11112.1,96.97,0.5850644508362628,-0.07658643326039383,-0.1309025580872755,101-150,51-100,40921.34,142.33620000000002,21141,Medium,156.2295
505,2019-03-18,store_709,item_137,140.77,437,4409.79,10570.23,96.97,-0.053901471873109674,0.035545023696682554,-0.6594443984824694,101-150,51-100,42375.89,142.33620000000002,21141,Medium,147.8085
510,2019-03-18,store_442,item_137,136.35,437,4218.43,10694.74,96.97,-0.03139873552603545,0.0,-0.0,101-150,51-100,42375.89,142.33620000000002,21141,Medium,143.1675
515,2019-03-18,store_136,item_137,136.7,411,4558.84,10881.57,96.97,0.0025669233590024376,-0.059496567505720854,-23.178162798301276,101-150,51-100,39854.67,142.33620000000002,21141,Medium,143.535
520,2019-03-18,store_601,item_137,136.57,432,4550.07,11413.49,96.97,-0.0009509875640087984,0.051094890510948954,-53.72824256035827,101-150,51-100,41891.04,142.33620000000002,21141,Medium,143.3985
525,2019-03-18,store_458,item_137,143.27,401,4443.13,11115.15,96.97,0.049059090576261344,-0.0717592592592593,-1.462710751796571,101-150,51-100,38884.97,142.33620000000002,21141,Medium,150.4335
530,2019-03-18,store_162,item_137,146.21,433,4234.83,10746.17,96.97,0.020520695190898275,0.07980049875311712,3.8887814477411924,101-150,51-100,41988.01,142.33620000000002,21141,Medium,153.52050000000003
535,2019-03-18,store_30,item_137,147.75,406,4403.43,10562.01,96.97,0.010532795294439401,-0.06235565819861433,-5.920143367025643,101-150,51-100,39369.82,142.33620000000002,21141,Medium,155.13750000000002
540,2019-03-18,store_594,item_137,142.89,415,4546.75,10761.76,96.97,-0.03289340101522853,0.022167487684729092,-0.6739189928845088,101-150,51-100,40242.55,142.33620000000002,21141,Medium,150.03449999999998
545,2019-03-18,store_197,item_137,137.77,418,4346.4,11054.43,96.97,-0.03583175869549993,0.0072289156626506035,-0.20174604668674762,101-150,51-100,40533.46,142.33620000000002,21141,Medium,144.6585
550,2019-03-18,store_459,item_83,166.61,474,2914.67,8670.42,156.57,0.20933439790955943,0.13397129186602874,0.6399869930784597,151-200,151-200,74214.18,160.3866,23266,High,149.949
564,2019-03-18,store_709,item_83,157.19,483,2870.94,8285.69,156.57,-0.05653922333593431,0.018987341772152,-0.33582600983633115,151-200,151-200,75623.31,160.3866,23266,High,141.471
578,2019-03-18,store_442,item_83,165.83,482,2879.58,8319.29,156.57,0.05496532858324321,-0.0020703933747412417,-0.03766726094624719,151-200,151-200,75466.73999999999,160.3866,23266,High,149.247
592,2019-03-18,store_136,item_83,160.69,447,2910.35,8690.95,156.57,-0.030995597901465444,-0.07261410788381739,2.3427232510454092,151-200,151-200,69986.79,160.3866,23266,High,144.621
606,2019-03-18,store_601,item_83,156.16,447,2887.33,8906.11,156.57,-0.02819092662891287,0.0,-0.0,151-200,151-200,69986.79,160.3866,23266,High,140.544
620,2019-03-18,store_458,item_83,164.05,455,3033.08,8519.26,156.57,0.050525102459016535,0.017897091722595126,0.3542217798986625,151-200,151-200,71239.34999999999,160.3866,23266,High,147.645
634,2019-03-18,store_162,item_83,154.96,446,2821.7,9034.47,156.57,-0.05540993599512345,-0.01978021978021982,0.35697965400935766,151-200,151-200,69830.22,160.3866,23266,High,139.464
648,2019-03-18,store_30,item_83,165.15,450,3045.68,9021.74,156.57,0.0657589055240062,0.008968609865470878,0.13638623991691531,151-200,151-200,70456.5,160.3866,23266,High,148.63500000000002
662,2019-03-18,store_594,item_83,162.55,479,2820.6,9115.33,156.57,-0.015743263699666943,0.06444444444444453,-4.0934615384615505,151-200,151-200,74997.03,160.3866,23266,High,146.29500000000002
676,2019-03-18,store_197,item_83,151.99,480,2953.07,8718.54,156.57,-0.06496462626884036,0.0020876826722338038,-0.03213568355791712,151-200,151-200,75153.59999999999,160.3866,23266,High,136.79100000000003
690,2019-03-18,store_459,item_923,120.54,470,4492.45,13183.87,261.0,-0.20692150799394693,-0.02083333333333337,0.10068229994700603,101-150,251-300,122670.0,122.7624,23416,Medium,126.56700000000001
697,2019-03-18,store_709,item_923,126.78,466,4814.06,12281.64,261.0,0.05176704828272771,-0.008510638297872353,-0.1644026186579381,101-150,251-300,121626.0,122.7624,23416,Medium,133.119
704,2019-03-18,store_442,item_923,121.51,455,4547.66,12532.89,261.0,-0.04156807067360779,-0.023605150214592308,0.5678673518417485,101-150,251-300,118755.0,122.7624,23416,Medium,127.58550000000001
711,2019-03-18,store_136,item_923,127.23,464,4637.47,12587.38,261.0,0.04707431487120406,0.01978021978021971,0.4201913471144222,101-150,251-300,121104.0,122.7624,23416,Medium,133.5915
718,2019-03-18,store_601,item_923,126.76,480,4749.32,13493.0,261.0,-0.0036940973040949787,0.034482758620689724,-9.33455612619216,101-150,251-300,125280.0,122.7624,23416,Medium,133.098
725,2019-03-18,store_458,item_923,118.03,485,4425.09,12751.4,261.0,-0.06887030609024936,0.01041666666666674,-0.15125047728140606,101-150,251-300,126585.0,122.7624,23416,Medium,123.9315
732,2019-03-18,store_162,item_923,119.9,450,4762.75,13098.17,261.0,0.01584342963653307,-0.07216494845360821,-4.554881746513041,101-150,251-300,117450.0,122.7624,23416,Medium,125.89500000000001
739,2019-03-18,store_30,item_923,120.16,492,4714.81,12737.95,261.0,0.00216847372810669,0.09333333333333327,43.04102564102691,101-150,251-300,128412.0,122.7624,23416,Medium,126.168
746,2019-03-18,store_594,item_923,120.8,472,4692.76,12511.43,261.0,0.005326231691078487,-0.04065040650406504,-7.632113821138319,101-150,251-300,123192.0,122.7624,23416,Medium,126.84
753,2019-03-18,store_197,item_923,121.1,466,4825.76,13408.54,261.0,0.002483443708609201,-0.012711864406779627,-5.118644067796742,101-150,251-300,121626.0,122.7624,23416,Medium,127.155
760,2019-03-18,store_459,item_286,168.66,378,5104.69,12760.42,217.71,0.39273327828241134,-0.18884120171673824,-0.4808382995773128,151-200,201-250,82294.38,195.6731,41271,High,151.794
772,2019-03-18,store_709,item_286,169.53,374,4864.45,12875.4,217.71,0.005158306652436773,-0.010582010582010581,-2.0514504652436014,151-200,201-250,81423.54000000001,195.6731,41271,High,152.577
784,2019-03-18,store_442,item_286,185.89,385,4798.41,13133.7,217.71,0.09650209402465637,0.02941176470588225,0.30477851287214053,151-200,201-250,83818.35,195.6731,41271,High,167.301
796,2019-03-18,store_136,item_286,168.6,386,5002.01,12903.11,217.71,-0.09301199634192259,0.0025974025974024872,-0.027925458000644804,151-200,201-250,84036.06,195.6731,41271,High,151.74
808,2019-03-18,store_601,item_286,171.99,401,4982.61,12628.56,217.71,0.02010676156583635,0.03886010362694292,1.9326883396762713,151-200,201-250,87301.71,195.6731,41271,High,154.79100000000003
820,2019-03-18,store_458,item_286,170.84,374,5092.39,12490.2,217.71,-0.006686435257863832,-0.06733167082294267,10.069890491163395,151-200,201-250,81423.54000000001,195.6731,41271,High,153.756
832,2019-03-18,store_162,item_286,178.74,380,5156.11,12848.34,217.71,0.046242097869351406,0.016042780748663166,0.34693021051919204,151-200,201-250,82729.8,195.6731,41271,High,160.866
844,2019-03-18,store_30,item_286,185.03,396,4818.78,13337.0,217.71,0.03519077990377073,0.042105263157894646,1.196485649736425,151-200,201-250,86213.16,195.6731,41271,High,166.52700000000002
856,2019-03-18,store_594,item_286,181.46,381,5230.52,12247.66,217.71,-0.019294168513214083,-0.037878787878787845,1.9632246838129164,151-200,201-250,82947.51000000001,195.6731,41271,High,163.31400000000002
868,2019-03-18,store_197,item_286,184.62,372,5203.05,12906.89,217.71,0.01741430618318085,-0.023622047244094446,-1.3564736369979058,151-200,201-250,80988.12000000001,195.6731,41271,High,166.15800000000002
880,2019-03-18,store_459,item_915,272.54,396,6253.21,14315.3,210.01,0.47622142779763843,0.06451612903225801,0.13547506530863823,251-300,201-250,83163.95999999999,264.7014,19848,High,245.28600000000003
892,2019-03-18,store_709,item_915,261.3,394,6313.42,14091.33,210.01,-0.04124165260145307,-0.005050505050505083,0.12246126747906164,251-300,201-250,82743.94,264.7014,19848,High,235.17000000000002
904,2019-03-18,store_442,item_915,278.4,380,6249.48,13942.56,210.01,0.06544202066590121,-0.035532994923857864,-0.5429690978715829,251-300,201-250,79803.8,264.7014,19848,High,250.55999999999997
916,2019-03-18,store_136,item_915,263.96,407,6372.85,13542.86,210.01,-0.05186781609195401,0.07105263157894748,-1.3698789911065778,251-300,201-250,85474.06999999999,264.7014,19848,High,237.564
928,2019-03-18,store_601,item_915,255.46,406,6700.58,13354.16,210.01,-0.032201848764964236,-0.002457002457002422,0.07630004335886616,251-300,201-250,85264.06,264.7014,19848,High,229.91400000000002
940,2019-03-18,store_458,item_915,268.47,403,6399.47,13816.47,210.01,0.050927738197761085,-0.007389162561576401,-0.14509111975252117,251-300,201-250,84634.03,264.7014,19848,High,241.62300000000002
952,2019-03-18,store_162,item_915,278.17,378,6424.1,13970.27,210.01,0.036130666368681785,-0.06203473945409432,-1.7169553094062582,251-300,201-250,79383.78,264.7014,19848,High,250.353
964,2019-03-18,store_30,item_915,254.71,395,6477.16,14210.47,210.01,-0.0843369162742208,0.04497354497354489,-0.5332604861590359,251-300,201-250,82953.95,264.7014,19848,High,229.239
976,2019-03-18,store_594,item_915,262.09,390,6622.42,13062.92,210.01,0.02897412743904826,-0.012658227848101222,-0.43688038146204206,251-300,201-250,81903.9,264.7014,19848,High,235.88099999999997
988,2019-03-18,store_197,item_915,268.02,379,6301.48,14093.4,210.01,0.022625815559540685,-0.028205128205128216,-1.2465905651403089,251-300,201-250,79593.79,264.7014,19848,High,241.218
1000,2019-03-18,store_459,item_511,164.99,456,3758.67,8491.32,146.22,-0.3844116110738004,0.20316622691292885,-0.528512201661683,151-200,101-150,66676.31999999999,165.945,23223,High,148.491
1008,2019-03-18,store_709,item_511,166.72,452,3856.67,8404.27,146.22,0.010485483968725395,-0.00877192982456143,-0.8365784403204555,151-200,101-150,66091.44,165.945,23223,High,150.048
1016,2019-03-18,store_442,item_511,160.49,458,3783.11,8692.12,146.22,-0.037368042226487486,0.01327433628318575,-0.3552323186408877,151-200,101-150,66968.76,165.945,23223,High,144.441
1024,2019-03-18,store_136,item_511,167.85,485,3753.28,8472.65,146.22,0.045859555112467865,0.058951965065502154,1.2854892490981633,151-200,101-150,70916.7,165.945,23223,High,151.065
1032,2019-03-18,store_601,item_511,160.65,466,3809.37,8846.83,146.22,-0.04289544235924925,-0.039175257731958735,0.9132731958762897,151-200,101-150,68138.52,165.945,23223,High,144.585
1040,2019-03-18,store_458,item_511,160.94,455,3709.28,8508.45,146.22,0.0018051665110487836,-0.023605150214592308,-13.076439248187667,151-200,101-150,66530.1,165.945,23223,High,144.846
1048,2019-03-18,store_162,item_511,158.77,470,3809.62,8913.71,146.22,-0.013483285696532787,0.03296703296703307,-2.4450296247531496,151-200,101-150,68723.4,165.945,23223,High,142.893
1056,2019-03-18,store_30,item_511,159.42,477,3636.43,9001.46,146.22,0.004093972412924307,0.014893617021276562,3.637937806874012,151-200,101-150,69746.94,165.945,23223,High,143.47799999999998
1064,2019-03-18,store_594,item_511,166.5,465,3949.62,8843.31,146.22,0.044410989838163495,-0.02515723270440251,-0.5664641296237054,151-200,101-150,67992.3,165.945,23223,High,149.85
1072,2019-03-18,store_197,item_511,172.25,483,3978.18,8516.19,146.22,0.03453453453453448,0.03870967741935494,1.1208976157082795,151-200,101-150,70624.26,165.945,23223,High,155.025
1080,2019-03-18,store_459,item_444,258.71,425,2546.13,12500.79,128.11,0.5019448476052248,-0.12008281573498969,-0.23923507992542192,251-300,101-150,54446.75000000001,250.43959999999998,21643,High,232.839
1088,2019-03-18,store_709,item_444,249.63,427,2482.13,12061.47,128.11,-0.035097213095744206,0.004705882352941115,-0.13408136823010994,201-250,101-150,54702.97000000001,250.43959999999998,21643,High,224.667
1096,2019-03-18,store_442,item_444,259.78,415,2553.55,11678.25,128.11,0.04066017706205183,-0.02810304449648715,-0.6911687682421762,251-300,101-150,53165.65000000001,250.43959999999998,21643,High,233.802
1104,2019-03-18,store_136,item_444,263.18,439,2418.27,11550.5,128.11,0.013087997536377127,0.05783132530120483,4.418653437278461,251-300,101-150,56240.29000000001,250.43959999999998,21643,High,236.86200000000002
1112,2019-03-18,store_601,item_444,259.46,435,2474.27,12077.52,128.11,-0.014134812675735353,-0.009111617312072884,0.6446224312342264,251-300,101-150,55727.850000000006,250.43959999999998,21643,High,233.51399999999998
1120,2019-03-18,store_458,item_444,258.73,415,2471.54,12404.21,128.11,-0.002813535805133549,-0.04597701149425293,16.34136356479407,251-300,101-150,53165.65000000001,250.43959999999998,21643,High,232.85700000000003
1128,2019-03-18,store_162,item_444,249.47,442,2652.01,12156.46,128.11,-0.03579020600626137,0.06506024096385543,-1.817822477816232,201-250,101-150,56624.62,250.43959999999998,21643,High,224.523
1136,2019-03-18,store_30,item_444,238.64,417,2563.52,11934.19,128.11,-0.0434120335110435,-0.0565610859728507,1.3028895768833828,201-250,101-150,53421.87,250.43959999999998,21643,High,214.77599999999998
1144,2019-03-18,store_594,item_444,242.23,435,2427.88,12229.65,128.11,0.01504358028830044,0.043165467625899234,2.8693613354441627,201-250,101-150,55727.850000000006,250.43959999999998,21643,High,218.007
1152,2019-03-18,store_197,item_444,247.63,434,2565.04,11889.36,128.11,0.022292862155802284,-0.0022988505747126853,-0.10312047679863982,201-250,101-150,55599.740000000005,250.43959999999998,21643,High,222.867
1160,2019-03-18,store_459,item_11,189.68,468,4858.95,9820.85,132.58,-0.23401849533578323,0.07834101382488479,-0.33476419764376564,151-200,101-150,62047.44,199.97920000000002,23875,High,170.71200000000002
1173,2019-03-18,store_709,item_11,203.35,472,4935.7,10685.68,132.58,0.07206874736398139,0.008547008547008517,0.11859521442549939,201-250,101-150,62577.76000000001,199.97920000000002,23875,High,183.015
1186,2019-03-18,store_442,item_11,197.96,486,4688.14,9990.7,132.58,-0.026506024096385472,0.029661016949152463,-1.1190292758089369,151-200,101-150,64433.880000000005,199.97920000000002,23875,High,178.16400000000002
1199,2019-03-18,store_136,item_11,204.3,487,5046.77,10139.86,132.58,0.03202667205496068,0.002057613168724215,0.06424686165309851,201-250,101-150,64566.46000000001,199.97920000000002,23875,High,183.87
1212,2019-03-18,store_601,item_11,206.41,496,4889.1,10267.2,132.58,0.010327949094468769,0.01848049281314168,1.7893671477369193,201-250,101-150,65759.68000000001,199.97920000000002,23875,High,185.769
1225,2019-03-18,store_458,item_11,206.37,477,4847.28,9792.24,132.58,-0.00019378906060751877,-0.03830645161290325,197.6708669354941,201-250,101-150,63240.66,199.97920000000002,23875,High,185.733
1238,2019-03-18,store_162,item_11,195.95,497,4786.09,9698.01,132.58,-0.05049183505354471,0.04192872117400426,-0.830405968203382,151-200,101-150,65892.26000000001,199.97920000000002,23875,High,176.355
1251,2019-03-18,store_30,item_11,197.77,455,5086.68,9885.45,132.58,0.009288083694820148,-0.08450704225352113,-9.098436774493072,151-200,101-150,60323.90000000001,199.97920000000002,23875,High,177.99300000000002
1264,2019-03-18,store_594,item_11,198.8,457,4818.64,9893.13,132.58,0.005208069980280117,0.00439560439560438,0.8439987197268731,151-200,101-150,60589.060000000005,199.97920000000002,23875,High,178.92000000000002
1277,2019-03-18,store_197,item_11,207.87,480,4782.64,9933.74,132.58,0.04562374245472833,0.05032822757111588,1.103114844667899,201-250,101-150,63638.40000000001,199.97920000000002,23875,High,187.083
1290,2019-03-18,store_459,item_150,114.3,368,6959.81,7883.13,230.59,-0.45013710492134507,-0.23333333333333328,0.5183605856577962,101-150,201-250,84857.12,110.95379999999999,17838,Medium,120.015
1300,2019-03-18,store_709,item_150,111.18,357,6676.75,7915.2,230.59,-0.02729658792650913,-0.029891304347826053,1.0950564381270913,101-150,201-250,82320.63,110.95379999999999,17838,Medium,116.73900000000002
1310,2019-03-18,store_442,item_150,112.09,357,6924.85,8431.57,230.59,0.008184925346285343,0.0,0.0,101-150,201-250,82320.63,110.95379999999999,17838,Medium,117.6945
1320,2019-03-18,store_136,item_150,114.8,370,6873.57,7889.58,230.59,0.024177000624498124,0.036414565826330625,1.506165565857346,101-150,201-250,85318.3,110.95379999999999,17838,Medium,120.54
1330,2019-03-18,store_601,item_150,112.03,369,6615.1,7892.1,230.59,-0.02412891986062715,-0.002702702702702675,0.1120109278954034,101-150,201-250,85087.71,110.95379999999999,17838,Medium,117.6315
1340,2019-03-18,store_458,item_150,109.59,375,7022.66,8395.77,230.59,-0.02177988038918144,0.016260162601626105,-0.7465680394508915,101-150,201-250,86471.25,110.95379999999999,17838,Medium,115.0695
1350,2019-03-18,store_162,item_150,110.11,368,6837.71,8409.02,230.59,0.004744958481613271,-0.01866666666666672,-3.934000000000024,101-150,201-250,84857.12,110.95379999999999,17838,Medium,115.6155
1360,2019-03-18,store_30,item_150,109.49,346,6972.1,8502.98,230.59,-0.005630732903460167,-0.05978260869565222,10.617198457223026,101-150,201-250,79784.14,110.95379999999999,17838,Medium,114.9645
1370,2019-03-18,store_594,item_150,114.35,369,6668.25,8472.84,230.59,0.04438761530733393,0.06647398843930641,1.4975796284402616,101-150,201-250,85087.71,110.95379999999999,17838,Medium,120.0675
1380,2019-03-18,store_197,item_150,114.47,345,6723.38,7834.57,230.59,0.0010494097070399278,-0.06504065040650409,-61.978319783189725,101-150,201-250,79553.55,110.95379999999999,17838,Medium,120.1935
1390,2019-03-18,store_459,item_648,55.82,349,6229.51,13742.56,56.06,-0.5123613173757317,0.011594202898550732,-0.022628958325611293,51-100,51-100,19564.940000000002,58.93979591836735,16576,Medium,58.611000000000004
1398,2019-03-18,store_709,item_648,60.09,328,6661.03,12976.79,56.06,0.07649587961304194,-0.06017191977077363,-0.7866034102118462,51-100,51-100,18387.68,58.93979591836735,16576,Medium,63.094500000000004
